,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
48,DayDreamers,S10,IT,15,13.3%,0.51,1561,-298,30:36,9.0,17.7,3.1,9.1,33.3,33.3,1.20,23.7,0.60,33.3,0.67,-0.7,-2297,0.13,15.0,28.3,1738,2.4,0.94,0.98
49,Defusekids,S10,EUW,15,46.7%,1.28,1744,19,34:41,13.2,10.3,5.7,7.1,53.3,26.7,2.00,37.9,0.40,20.0,0.53,-1.0,-93,0.73,46.7,31.5,1763,3.2,1.19,1.28
50,Detonation FocusMe,S10,JP,59,66.1%,1.35,1750,124,34:30,13.8,10.2,7.3,4.6,66.1,55.9,2.81,58.6,1.10,57.6,1.22,0.3,1121,0.73,57.3,30.7,1926,3.7,1.40,1.67
51,devils.one,S10,PL,24,66.7%,1.42,1740,88,35:17,13.5,9.5,7.1,5.1,54.2,50.0,2.88,55.2,1.13,56.3,1.04,-0.1,150,0.54,56.8,31.4,1777,3.3,1.36,1.37
52,Diablo Chairs,S10,PL,14,21.4%,0.69,1599,-186,30:58,10.3,14.9,3.9,7.7,57.1,50.0,1.57,35.4,1.00,50.0,0.64,-0.3,-1013,0.43,34.7,28.4,1859,3.1,1.41,1.19
53,Dignitas,S10,NA,42,35.7%,0.84,1665,-106,34:21,9.3,11.0,4.6,7.9,47.6,40.5,2.38,45.9,0.74,36.9,0.79,-0.3,-518,0.40,34.1,32.2,1651,3.0,1.25,1.39
54,Dignitas Academy,S10,NA,40,52.5%,1.26,1715,19,34:21,13.6,10.7,5.7,6.1,57.5,55.0,2.93,55.4,1.05,56.3,1.05,-0.4,-65,0.65,53.6,31.2,1758,3.2,1.28,1.46
55,Dire Wolves,S10,OCE,64,51.6%,1.04,1755,49,32:33,13.0,12.4,6.2,5.6,46.9,60.9,2.30,47.3,1.16,59.4,0.81,0.3,895,0.67,49.7,31.6,1857,3.0,1.20,1.34
56,Dominus Esports,S10,CN,75,29.3%,0.74,1706,-129,32:14,11.1,15.0,5.0,7.5,20.0,16.0,2.27,47.3,0.31,37.5,0.86,-0.3,-1251,0.48,32.6,31.6,1705,3.1,1.21,1.54
57,Dragon Army,S10,CIS,29,31.0%,0.80,1653,-147,32:22,12.4,15.5,4.2,6.9,44.8,27.6,2.24,44.3,0.59,31.5,0.85,-0.6,-1152,0.45,38.9,29.6,2075,2.8,1.21,1.21
58,DragonX,S10,KR,131,62.6%,1.22,1836,130,32:23,12.8,10.5,6.6,4.7,42.0,53.4,2.46,55.0,0.90,48.4,0.88,0.1,1082,0.66,59.1,34.8,1974,3.7,1.40,1.78
59,Eclot Gaming,S10,CZ,14,21.4%,0.61,1660,-246,31:18,12.2,20.1,3.9,8.4,50.0,35.7,1.64,36.7,0.86,46.4,1.00,0.1,-1136,0.64,38.5,29.2,1752,2.7,0.98,1.13
60,Edward Gaming,S10,CN,105,54.3%,1.21,1767,45,33:26,14.3,11.8,6.4,5.7,21.0,18.1,2.48,50.2,0.44,60.5,0.84,0.0,135,0.69,54.6,31.0,1751,3.4,1.48,1.57
61,EGN Esports,S10,PT,56,66.1%,1.26,1800,146,31:55,15.1,11.9,7.3,4.1,62.5,75.0,2.59,57.6,1.21,60.7,1.00,0.4,1143,0.77,62.7,31.3,1957,2.9,1.03,1.15
62,Element Mystic,S10,KR,74,39.2%,0.75,1704,-87,31:39,10.8,14.4,5.3,6.5,44.6,48.6,2.11,43.2,0.84,43.9,0.74,-0.1,-357,0.45,40.3,31.7,1813,3.3,1.05,1.40
63,Elements Pro Gaming,S10,CIS,32,31.3%,0.64,1628,-185,31:56,10.5,16.3,4.3,7.6,25.0,37.5,1.81,37.3,0.75,40.0,0.80,-0.4,-1497,0.44,29.8,29.5,1848,3.2,1.36,1.24
