"number","name","earnings","gold","silver","bronze","premier"
280,"OZ Gaming","$9,982",0,0,1,0
281,"KOVA Esports","$9,977",2,0,0,0
282,"UTM Esports","$9,794",0,0,1,0
283,"DRX Academy","$9,752",2,2,0,0
284,"SolaFide Esports","$9,700",1,1,1,0
285,"Warthox","$9,657",6,1,0,0
286,"Mkers","$9,622",0,2,1,0
287,"E WIE EINFACH E-SPORTS","$9,399",1,0,0,0
288,"Team Kinguin","$9,013",1,0,0,0
289,"Splyce Vipers","$8,910",1,0,0,0
290,"Granit Gaming","$8,878",0,2,0,0
291,"ahq e-Sports Club Korea","$8,857",0,0,0,0
292,"Greek Regenesis","$8,761",0,3,0,0
293,"Turing eSports","$8,738",1,0,0,0
294,"eNsure","$8,714",2,0,0,0
295,"NS RedForce Challengers","$8,629",0,0,1,0
296,"Afro Beast","$8,548",1,0,0,0
297,"DAMWON Challengers","$8,493",1,0,0,0
298,"Barrage Esports NA","$8,460",0,2,1,0
299,"ASURA","$8,380",0,0,0,0
300,"Red Bulls","$8,319",0,0,0,0
301,"T Show","$8,217",1,0,1,0
302,"Vipers Inc","$8,059",0,4,2,0
303,"nDurance Gaming","$8,037",0,0,0,0
304,"Tempo Storm","$8,000",0,0,0,0
305,"NYYRIKKI White","$7,976",0,3,0,0
306,"China","$7,834",1,1,1,0
307,"Macko Esports","$7,745",2,0,0,0
308,"Gen.G Academy","$7,549",4,0,0,0
308,"Paris Saint-Germain eSports","$7,549",0,0,0,0
310,"Nova Esports","$7,500",0,0,0,0
310,"BOOM Esports","$7,500",0,0,0,0
312,"Copenhagen Flames","$7,444",0,3,1,0
313,"Godsent","$7,353",0,0,0,0
314,"GameWard","$7,337",0,1,1,0
315,"Triumphant Song Gaming","$7,327",0,1,0,0
315,"Suning-S","$7,327",0,0,1,0
317,"Campus Party Sparks","$7,153",2,0,0,0
318,"T1 Academy","$7,146",3,3,0,0
319,"Beºiktaº Esports","$7,065",3,1,0,0
320,"DeToNator","$7,000",0,1,0,0
321,"Santos e-Sports","$6,878",2,0,0,0
322,"Vikings Gaming","$6,842",0,0,1,0
323,"Dusty","$6,821",0,0,0,0
324,"Sky Gaming","$6,594",0,0,1,0
325,"Resolve NA","$6,450",0,0,1,0
326,"Impunity","$6,380",0,0,0,0
327,"Fact Revolution","$6,367",1,0,1,0
328,"Globant Emerald Team","$6,340",2,0,0,0
329,"UniQ Esports Club","$6,150",2,0,0,0
330,"Freecs Academy","$6,141",1,3,0,0
331,"Packa Pappas Kappsäck","$5,985",0,1,0,0
332,"ORDER","$5,979",0,2,1,0
333,"Atlando Esports","$5,841",0,0,0,0
334,"Intrepid Fox Gaming","$5,813",0,2,0,0
335,"Element Mystic","$5,774",0,0,0,0
336,"Iron Hawks e-Sports","$5,586",0,1,0,0
337,"Team THRLL","$5,322",0,0,2,0
338,"Cream Real Betis","$5,119",0,1,1,0
339,"Phelan Gaming","$5,107",0,0,1,0
340,"Hyperion Esports","$5,093",0,0,1,0
341,"PRIDE","$5,089",0,0,0,0
342,"Nigma Galaxy EU","$5,087",1,1,0,0
343,"Sin Gaming","$5,069",0,0,2,0
344,"Runaway","$5,050",0,0,0,0
345,"Falkol","$5,009",0,0,0,0
346,"Istanbul Wildcats","$5,000",1,1,0,0
346,"Coscu Army","$5,000",2,0,0,0
348,"Luxury Esports","$4,975",1,0,0,0
349,"Team BDS","$4,746",1,0,1,0
350,"Zombie Unicorns","$4,662",1,0,0,0
351,"ASUS ROG Army","$4,648",0,0,1,0
352,"Nordavind Academy","$4,511",1,1,0,0
353,"Shadow EK","$4,486",1,0,0,0
354,"GC Busan Rising Star","$4,481",0,0,0,0
355,"Flamengo Esports Academy","$4,453",2,0,0,0
356,"Shadow Battlica","$4,416",1,1,0,0
357,"Iron Wolves","$4,412",1,1,1,0
358,"Moss Seven Club","$4,365",0,1,0,0
359,"SBTC Esports","$4,329",0,0,0,0
360,"Radiance","$4,300",0,0,1,0
361,"TNC Predator","$4,266",0,2,0,0
362,"Zoos Gaming","$4,250",0,1,1,0
363,"Wis³a P³ock Esports","$4,175",0,0,0,0
364,"AS Trenèín eSports","$4,114",1,0,0,0
365,"ENCE","$4,110",0,0,0,0
366,"Sector One Black","$4,062",1,0,0,0
367,"ZHR Gaming","$4,028",0,1,0,0
368,"Unsold Stuff Gaming","$4,000",1,2,4,1
368,"Evilvice e-Sports","$4,000",0,0,0,0
368,"Chinese Taipei","$4,000",0,0,2,0
371,"Fox B","$3,821",2,0,0,0
372,"Aethra Esports","$3,782",0,0,2,0
373,"SINNERS Esports","$3,650",0,3,0,0
374,"Team Ascent","$3,604",0,1,0,0
375,"Brussels Guardians","$3,576",0,0,1,0
376,"Team BattleComics","$3,550",0,1,1,0
377,"Gamespace  E-Sports","$3,520",0,1,0,0
378,"RSCA Esports","$3,444",0,0,1,0
379,"XTEN Esports","$3,443",0,0,0,0
380,"Black Star Gaming","$3,429",0,0,0,0
381,"Dignitas Mirage","$3,400",0,0,1,0
382,"Hillerod eSport","$3,346",0,0,0,0
383,"Team Afro","$3,319",0,0,0,0
384,"Team Phantasma","$3,309",0,2,1,0
385,"S2V Esports","$3,304",0,0,0,0
386,"lvlUP Rhinos","$3,248",0,0,0,0
387,"F-Soul Esports","$3,247",0,0,1,0
388,"Burst The Sky Esports","$3,246",0,0,1,0
389,"Hybrid Esports","$3,216",0,1,2,0
390,"Azules Esports","$3,186",1,0,0,0
391,"eXtatus","$3,177",0,1,0,0
392,"Cream Esports Mexico","$3,100",1,0,3,0
393,"BuzzKill","$3,060",0,1,0,0
394,"Samsung Morning Stars","$2,962",1,1,1,0
395,"Wind and Rain Germany","$2,944",0,0,0,0
396,"Hall of Fame","$2,884",0,0,0,0
397,"ToxicFalcons Belgium","$2,848",0,1,0,0
398,"OverPower Esports","$2,802",0,0,0,0
399,"Furia Esports Academy","$2,761",0,1,0,0
400,"TrainHard eSport","$2,745",0,1,0,0
401,"YDN Esports","$2,743",1,0,0,0
402,"Nongshim RedForce Academy","$2,729",0,1,1,0
403,"Beºiktaº e-Sports Club Female","$2,677",1,1,0,0
404,"Hanwha Life Academy","$2,566",0,1,1,0
405,"ToxicFalcons","$2,504",1,0,0,0
406,"nerdRage","$2,474",0,0,1,0
407,"Goskilla","$2,372",1,0,0,0
408,"PIGSPORTS","$2,307",1,0,0,0
409,"Miners.gg","$2,304",0,0,0,0
410,"Munster Rugby Gaming","$2,302",0,0,0,0
411,"Five Kings","$2,270",1,0,0,0
412,"Cyber Gaming","$2,131",0,1,2,0
413,"Valhalla Vikings","$2,120",1,0,1,0
414,"paiN Gaming Academy","$2,093",0,1,0,0
415,"Solwing Esports","$2,053",0,1,0,0
416,"Team PHZ","$2,033",1,0,1,0
417,"Munster Rugby Academy","$2,015",0,1,0,0
418,"PACT","$2,013",0,0,0,0
419,"Avant Gaming","$2,000",0,1,0,0
420,"SAMCLAN Esports Club","$1,961",1,1,2,0
421,"Astralis Talent","$1,916",0,0,1,0
422,"Jasny Gwint","$1,871",0,0,1,0
423,"SANDBOX Gaming Academy","$1,819",0,0,1,0
424,"KT Rolster Academy","$1,794",1,0,0,0
425,"Team BDS Academy","$1,787",0,1,0,0
426,"No team template exists for name ""liberty academy"".","$1,781",0,0,0,0
427,"Sharks Esports","$1,760",0,0,0,0
428,"RED Academy","$1,745",0,0,0,0
429,"Kenty","$1,733",0,1,0,0
430,"mYinsanity","$1,729",1,0,0,0
431,"Pyrsos Esports","$1,671",0,0,1,0
431,"TimeOut Esports","$1,671",0,1,0,0
433,"Dragon Gate Team","$1,620",0,0,0,0
434,"DIVIZON","$1,583",0,1,0,0
435,"Team Same Mordeczki","$1,542",0,0,0,0
436,"Vanir","$1,530",0,0,0,0
437,"Method2Madness","$1,483",0,1,0,0
438,"Team Fighter","$1,455",1,0,0,0
439,"Bulldog Esports","$1,319",0,0,0,0
440,"LOUD Academy","$1,299",0,0,0,0
441,"Rensga eSports Academy","$1,263",0,0,0,0
442,"Racoon","$1,199",0,2,1,0
443,"GOEXANIMO","$1,174",0,1,0,0
444,"Tony Parker Adequat Academy","$1,097",0,0,1,0
445,"Team Oplon","$1,024",2,1,0,0
446,"Anahuac Esports","$1,000",0,1,0,0
447,"Fortress Esports","$937",0,1,0,0
448,"Rascal Jester","$919",0,2,2,0
449,"Loto Gaming","$900",0,1,0,0
449,"Australs","$900",0,0,0,0
451,"Submarino Stars","$851",0,0,0,0
451,"WP Gaming","$851",0,0,0,0
453,"PANTHERS Gaming","$842",0,0,0,0
454,"Szef +6","$835",0,0,0,0
455,"Team Infamous","$814",0,0,0,0
456,"Galakticos","$812",0,0,1,0
457,"MAD Lions Mexico","$750",0,0,0,0
458,"KaBuM! e-Sports Academy","$743",0,0,0,0
459,"BloodRain-Gaming","$730",0,1,0,0
460,"Howling eSports","$711",0,0,0,0
461,"Dynamo Eclot","$694",0,0,2,0
462,"Intergalaxy Tigers Gaming","$598",0,0,0,0
463,"DarkSpawn Esports","$592",0,0,0,0
464,"Esports Academy","$591",0,0,0,0
464,"Indictive Esports","$591",0,0,0,0
466,"CAZ eSports","$588",0,0,0,0
467,"OFFSET Esports","$586",0,0,2,0
468,"G2 Vodafone","$582",0,0,0,0
469,"Miners.gg Academy","$564",0,0,0,0
470,"ASP Esports","$561",0,0,0,0
471,"S2V Female","$557",0,1,1,0
472,"DAMWON Gaming Academy","$510",0,0,0,0
473,"MJ-Esports","$456",0,0,2,0
474,"Sector One Academy","$421",0,0,0,0
475,"Legion Gaming","$393",0,0,0,0
476,"INTZ Academy","$371",0,0,0,0
477,"Hydras Esport","$342",0,0,0,0
477,"NYYRIKKI Blue","$342",0,0,0,0
479,"Nordic Fox Esport","$340",0,0,0,0
480,"AOE Esports","$250",0,1,1,0
481,"Gripen Esport","$227",0,0,0,0
482,"ESTORM","$200",0,0,0,0
