Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	HERPG	HER%	DRA@15	TD@15	GD@15	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
LGD Gaming	S12	CN	17	41.2%	0.95	1794	-54	33:14	15.1	15.9	5.6	6.6	41.2	64.7	2.00	45.1	-	-	-	-	-	0.59	38.2	31.7	1961	-	-	-
Liberty	S12	BR	1	100.0%	5.33	1993	412	27:34	16.0	3.0	11.0	1.0	100.0	100.0	3.00	75.0	2.00	100.0	1.00	4.0	7277	1.00	100.0	33.3	1751	3.3	1.16	1.52
Liiv SANDBOX	S12	KR	8	25.0%	0.62	1675	-194	31:20	7.6	12.3	3.8	8.6	50.0	-	2.25	50.0	0.50	31.3	1.00	-0.8	-2593	0.38	21.4	33.3	1444	2.9	1.12	1.57
Lille Esport	S12	FR	3	66.7%	1.35	1830	185	33:05	18.0	13.3	8.3	3.3	66.7	100.0	2.67	58.3	1.67	83.3	0.67	1.0	1779	1.00	75.0	29.8	2128	2.8	1.13	1.19
LNG Academy	S12	KR	3	33.3%	0.92	1819	-56	31:28	18.0	19.7	4.7	7.0	-	-	1.67	42.2	0.33	16.7	0.67	-1.0	-3204	0.67	75.0	31.6	2091	3.3	1.17	1.42
LNG Esports	S12	CN	17	70.6%	1.29	1929	170	30:38	15.9	12.3	7.5	4.7	29.4	58.8	2.18	53.4	-	-	-	-	-	0.59	56.0	34.0	2057	-	-	-
LOUD	S12	BR	2	50.0%	0.86	1753	-3	38:52	16.0	18.5	7.5	5.0	50.0	100.0	3.00	60.0	1.00	50.0	0.00	1.0	1584	0.50	25.0	30.6	2317	3.8	1.74	1.66
LowLandLions	S12	BE	3	33.3%	0.89	1720	-5	32:12	10.3	11.7	5.3	4.7	66.7	33.3	2.67	66.7	1.00	50.0	1.67	-0.3	47	0.33	50.0	32.8	1679	2.6	1.25	1.45
LSB Challengers	S12	KR	14	64.3%	1.20	1898	115	30:53	16.1	13.5	7.0	4.9	42.9	42.9	2.00	47.0	1.07	53.6	0.57	-0.4	-583	0.71	57.7	33.2	2060	3.8	1.67	1.55
Macko Esports	S12	IT	2	50.0%	1.17	1747	68	38:35	17.0	14.5	9.0	6.0	50.0	100.0	3.00	58.9	1.00	75.0	0.50	0.0	498	1.00	66.7	29.5	2404	3.2	1.23	1.46
MAD Lions	S12	EUW	5	60.0%	1.02	1880	121	35:47	16.8	16.4	7.8	5.4	80.0	80.0	2.20	50.0	1.60	80.0	0.40	0.4	1522	1.00	50.0	32.6	2060	3.2	1.29	1.28
MAD Lions Madrid	S12	ES	5	40.0%	0.82	1731	-73	35:21	13.6	16.6	5.6	7.6	40.0	80.0	2.20	57.3	0.80	40.0	0.60	0.4	-542	0.60	30.0	30.6	1923	3.7	1.38	1.50
MAMMOTH	S12	OCE	1	0.0%	0.36	1495	-509	27:07	8.0	22.0	0.0	7.0	-	-	0.00	0.0	1.00	50.0	0.00	0.0	-4786	0.00	-	26.9	1826	2.6	1.11	0.96
mCon LG UltraGear	S12	BE	3	66.7%	1.70	1797	137	33:47	15.3	9.0	6.7	4.7	66.7	66.7	2.67	57.1	0.67	33.3	0.67	0.3	2138	1.00	100.0	32.1	1954	3.5	1.23	1.34
