,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
111,Galatasaray Esports,S11,TR,60,68.3%,1.35,1834,158,33:11,16.2,11.9,7.4,4.3,53.3,56.7,2.33,49.4,1.07,54.2,0.85,0.2,784,0.98,67.1,32.3,1972,3.2,1.28,1.45
112,Galaxy Racer EU,S11,EUW,16,50.0%,1.04,1807,16,27:56,15.8,15.3,5.8,5.9,50.0,75.0,2.19,54.0,0.81,50.0,0.94,0.0,461,0.50,46.2,30.8,2131,2.9,1.24,1.20
113,GAM Esports,S11,VN,78,76.9%,1.52,1964,263,28:39,18.6,12.2,7.4,3.7,60.3,71.8,2.44,63.5,1.12,56.4,0.99,0.8,2296,0.77,69.7,33.5,2228,3.7,1.34,1.50
114,Gambit Esports,S11,CIS,18,66.7%,1.29,1820,194,32:19,14.0,10.8,7.4,3.7,38.9,61.1,3.06,67.8,1.44,72.2,1.33,0.6,974,0.78,69.1,32.4,1868,3.2,1.19,1.36
115,GamerLegion,S11,DE,52,51.9%,0.99,1818,1,30:22,16.1,16.2,6.0,5.9,44.2,53.8,2.46,56.8,0.92,48.1,0.94,-0.2,-426,0.73,50.5,31.7,2174,3.0,1.08,1.14
116,Gamers Origin,S11,FR,35,40.0%,0.93,1758,-39,33:46,15.0,16.0,5.8,6.3,45.7,48.6,2.26,47.0,1.09,54.3,0.89,0.1,223,0.54,40.7,31.3,1978,3.2,1.31,1.46
117,Gamers Origin Academy,S11,FR,18,33.3%,0.78,1683,-150,33:48,12.9,16.5,4.4,7.8,22.2,38.9,2.06,41.9,0.78,38.9,0.94,-0.2,-953,0.44,26.5,30.9,2135,3.3,1.39,1.37
118,Gamespace Mediterranean College Esports,S11,GR,58,48.3%,0.91,1750,-51,31:13,14.1,15.5,5.7,6.2,37.9,41.4,2.52,52.7,1.05,53.4,1.07,-0.3,-775,0.67,47.6,30.6,1960,3.1,1.25,1.34
119,GameWard,S11,FR,39,46.2%,0.91,1747,-21,31:39,14.3,15.6,5.8,6.3,41.0,56.4,2.51,54.2,1.31,66.7,1.08,0.4,137,0.62,45.9,31.0,2028,3.2,1.41,1.28
120,GameWard Academy,S11,FR,18,44.4%,1.11,1729,-36,32:27,14.6,13.2,5.6,6.5,66.7,27.8,2.28,52.1,0.78,38.9,1.17,-0.7,-409,0.89,51.0,30.3,1944,2.9,1.46,1.24
121,Gaming Team Krava?e,S11,CZ,25,52.0%,1.03,1744,7,30:25,14.2,13.7,5.6,5.5,64.0,52.0,2.32,49.8,0.80,40.0,0.96,-0.1,139,0.64,46.0,30.9,1772,2.9,1.06,1.21
122,Gen.G Challengers,S11,KR,56,64.3%,1.24,1818,98,33:18,14.6,11.8,7.0,4.4,53.6,57.1,2.70,57.2,1.09,55.4,0.93,0.2,463,0.66,53.3,33.2,1851,3.5,1.50,1.72
